cat,word,max
cor,barbe,11
cor,bouche,2
cor,bouclé,7
cor,bras,4
cor,bronzé,5
cor,chauve,2
cor,cheveux,65
cor,coiffure,2
cor,corps,2
cor,cou,3
cor,crâne,2
cor,doigt,2
cor,dos,10
cor,dreadlock,2
cor,épaule,3
cor,frange,3
cor,frisé,3
cor,genou,6
cor,jambe,4
cor,joue,3
cor,lèvre,4
cor,main,25
cor,maquillage,2
cor,mèche,5
cor,mince,4
cor,mollet,2
cor,moustache,2
cor,nez,4
cor,odeur,2
cor,oreille,13
cor,peau,5
cor,piercing,3
cor,poignet,2
cor,rasé,4
cor,sexy,2
cor,silhouette,2
cor,sourcil,3
cor,sportif,8
cor,svelte,2
cor,tatouage,3
cor,tête,17
cor,visage,16
vet,adidas,2
vet,bandeau,2
vet,basket,6
vet,bonnet,9
vet,botte,13
vet,ceinture,2
vet,chaussette,2
vet,chausson,2
vet,chaussure,18
vet,chemise,18
vet,col,3
vet,collant,4
vet,costume,11
vet,cravate,6
vet,cuir,14
vet,décolleté,2
vet,doudoune,4
vet,foulard,4
vet,fourrure,4
vet,gant,5
vet,imperméable,2
vet,jean,45
vet,jupe,10
vet,lacet,2
vet,leggin,2
vet,maillot,19
vet,manches,4
vet,moulant,2
vet,nike,2
vet,paire,2
vet,pantalon,18
vet,pull,13
vet,robe,16
vet,sandale,2
vet,slim,4
vet,sweat,5
vet,talon,7
vet,teeshirt,6
vet,timberland,2
vet,toile,2
vet,uniforme,2
vet,velours,2
ac,bagage,3
ac,bague,4
ac,baladeur,4
ac,bandoulière,6
ac,blackberry,2
ac,bouquet,2
ac,bouteille,14
ac,bracelet,2
ac,canard,2
ac,carnet,2
ac,casque,15
ac,chat,3
ac,chevalière,2
ac,cigarette,2
ac,collier,3
ac,coussin,2
ac,couverture,2
ac,dessin,2
ac,drapeau,2
ac,eastpack,2
ac,écouteur,9
ac,facture,2
ac,frisebee,4
ac,iphone,4
ac,jasmin,5
ac,livre,11
ac,lunettes,23
ac,magazine,4
ac,mouchoir,2
ac,ordinateur,2
ac,parapluie,2
ac,pochette,3
ac,ski,2
ac,sony,2
ac,strapontin,18
ac,stylo,2
ac,tablette,3
ac,téléphone,16
ac,tennis,2
ac,ticket,3
ac,trotinette,2
ac,valise,14
col,assorti,2
col,beige,16
col,blanc,26
col,bleu,68
col,blond,39
col,brillant,2
col,brun,84
col,caoutchouc,2
col,châtain,21
col,coloré,2
col,couleur,11
col,doré,2
col,fluo,2
col,foncé,10
col,gris,27
col,jaune,3
col,lumineux,2
col,mandarine,2
col,marine,8
col,marron,25
col,mat,2
col,mauve,2
col,métal,2
col,noir,117
col,noisette,2
col,ondulé,3
col,orange,2
col,pâle,2
col,plastique,3
col,poivre,2
col,prune,2
col,rayé,3
col,rayonnant,2
col,rose,6
col,rouge,27
col,roux,9
col,sombre,8
col,taches,2
col,teint,4
col,turquoise,2
col,vert,21
col,violet,3
